#id	gene	chrom	chromStart	chromEnd	strand
cg04672450	SAMD11	chr1	924804	924806	-
cg14324200	SAMD11	chr1	925936	925938	-
cg04485075	KLHL17,NOC2L	chr1	959206	959208	-
cg19923810	KLHL17,NOC2L	chr1	959573	959575	-
cg21832150	PLEKHN1	chr1	966644	966646	-
cg02397514	HES4,ISG15	chr1	999758	999760	+
cg08122545	HES4,ISG15	chr1	1001119	1001121	+
cg20022511	AL645608.1,ISG15	chr1	1013359	1013361	+
cg08067365	AL645608.1,ISG15	chr1	1013512	1013514	-
cg09383789	C1orf159	chr1	1115983	1115985	-
cg26541516	C1orf159	chr1	1116276	1116278	-
cg19584957	TTLL10,TTLL10-AS1	chr1	1179198	1179200	-
cg14886269	TNFRSF18	chr1	1206546	1206548	-
cg07671976	TNFRSF18	chr1	1206834	1206836	+
cg22335801	TNFRSF4	chr1	1213710	1213712	+
cg23867494	TNFRSF4	chr1	1214941	1214943	+
cg02224920	B3GALT6,SDF4	chr1	1231443	1231445	+
cg19945840	B3GALT6,SDF4	chr1	1232655	1232657	-
cg02913364	UBE2J2	chr1	1273192	1273194	-
cg03322129	LINC01786,UBE2J2	chr1	1274292	1274294	+
cg13587552	SCNN1D	chr1	1281060	1281062	-
cg22421766	SCNN1D	chr1	1282277	1282279	+
cg25203980	ACAP3	chr1	1303214	1303216	-
cg18565510	ACAP3	chr1	1303321	1303323	+
cg00262415	ACAP3,PUSL1	chr1	1307351	1307353	-
cg24497877	ACAP3,PUSL1	chr1	1308679	1308681	-
cg06038049	CPTP,INTS11	chr1	1324528	1324530	-
cg16293991	CPTP,INTS11	chr1	1325157	1325159	-
cg10164137	DVL1	chr1	1349858	1349860	+
cg20275133	MRPL20,RN7SL657P	chr1	1406980	1406982	+
cg25397779	MRPL20,MRPL20-DT	chr1	1407749	1407751	+
cg14667273	LINC01770,VWA1	chr1	1434553	1434555	+
cg25234611	LINC01770,VWA1	chr1	1435966	1435968	-
cg11405695	ATAD3C	chr1	1448710	1448712	-
cg27383362	ATAD3C	chr1	1449990	1449992	+
cg26798624	ATAD3B	chr1	1471928	1471930	+
cg05009249	ATAD3B	chr1	1472367	1472369	+
cg09932694	ATAD3A	chr1	1511459	1511461	+
